Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2972,00:02:03.957,1.900571131879543,1.7164070612668743,0.6124610591900311,3.372845275181724
2973,00:02:03.999,51.31666666666666,36.753478712357214,70.2341121495327,46.962409138110075
2974,00:02:04.041,5.136327448944272,3.0539979231568015,5.727673935617861,6.627310488058152
2975,00:02:04.082,5.80711318795431,4.337538940809969,5.9416926272066455,7.142107995846313
2976,00:02:04.124,5.4673416407061275,3.2514018691588786,6.046313603322949,7.104309449636553
2977,00:02:04.166,5.287106265143648,3.3684319833852543,5.779698857736241,6.71318795430945
2978,00:02:04.207,4.862599515403254,2.7287642782969885,5.719158878504673,6.1398753894080995
2979,00:02:04.249,5.396763586015922,3.7895119418483905,5.703790238836968,6.696988577362409
2980,00:02:04.291,4.765385946694358,2.7306334371754932,5.334060228452752,6.231464174454828
2981,00:02:04.333,4.585496711664937,2.8578920041536864,5.07263759086189,5.825960539979231
2982,00:02:04.374,4.454534440983039,2.634631360332295,5.179491173416407,5.549480789200415
2983,00:02:04.416,4.6009518864659045,2.744496365524403,4.977673935617861,6.080685358255452
2984,00:02:04.458,4.715005192107996,2.8803219106957423,5.185306334371755,6.07938733125649
2985,00:02:04.499,4.501003807545864,2.683956386292835,4.99595015576324,5.823104880581516
2986,00:02:04.541,4.660730356524748,2.65472481827622,5.208255451713396,6.119210799584631
2987,00:02:04.583,4.809761163032191,3.224402907580478,5.255919003115265,5.948961578400831
2988,00:02:04.624,5.247992384908272,3.4021806853582555,5.7002596053997925,6.6415368639667705
2989,00:02:04.666,5.008065074420215,2.9203011422637593,5.622326064382139,6.481568016614745
2990,00:02:04.708,4.986500519210799,2.608307372793354,5.605295950155763,6.745898234683281
2991,00:02:04.750,5.113378331602631,3.040238836967809,5.640446521287643,6.6594496365524405
2992,00:02:04.791,6.058791969539634,4.126791277258567,5.588110072689512,8.46147455867082
2993,00:02:04.833,4.8795950155763235,2.995638629283489,4.905763239875389,6.737383177570093
2994,00:02:04.875,4.725995154032538,2.9256490134994806,4.88006230529595,6.372274143302181
2995,00:02:04.916,4.867012807199722,2.8657840083073727,4.954984423676012,6.780269989615784
2996,00:02:04.958,4.729335410176532,2.7980269989615785,4.882502596053998,6.507476635514019
2997,00:02:05.000,4.6319660782277605,2.69595015576324,4.858151609553479,6.341796469366563
2998,00:02:05.042,4.437625475943233,2.3775181723779855,4.845534787123572,6.089823468328142
2999,00:02:05.083,4.647905849775008,2.574766355140187,4.924506749740394,6.444444444444445
3000,00:02:05.125,4.448061613014884,2.5440809968847353,4.69932502596054,6.100778816199377
3001,00:02:05.167,4.38116995500173,2.381827622014538,4.48478712357217,6.276895119418484
3002,00:02:05.208,4.197750086535134,2.236863966770509,4.452647975077881,5.90373831775701
3003,00:02:05.250,4.062374524056767,1.9526998961578401,4.388681204569055,5.845742471443406
3004,00:02:05.292,4.1058151609553475,2.057372793354102,4.236604361370716,6.023468328141226
3005,00:02:05.334,4.255244029075805,2.182554517133956,4.518380062305296,6.064797507788162
3006,00:02:05.375,5.381118033921773,3.773779854620976,5.101038421599169,7.268535825545172
3007,00:02:05.417,4.7736413984077535,2.7841640706126687,5.054672897196261,6.48208722741433
3008,00:02:05.459,4.705988231221876,2.646780893042575,4.929698857736241,6.541484942886812
3009,00:02:05.500,4.744894427137417,2.589356178608515,5.032554517133956,6.612772585669782
3010,00:02:05.542,4.8750605745932845,2.7449117341640705,4.965576323987539,6.914693665628245
3011,00:02:05.584,5.2634648667358945,3.403167185877466,5.087383177570094,7.299844236760125
3012,00:02:05.625,4.805295950155763,2.626323987538941,5.086552440290758,6.703011422637591
3013,00:02:05.667,5.6673070266528205,3.3857217030114226,5.562097611630322,8.054101765316718
3014,00:02:05.709,4.549255797853928,2.0435617860851507,5.185565939771547,6.418639667705088
3015,00:02:05.751,5.356940117687781,3.2450155763239876,5.643094496365524,7.182710280373832
3016,00:02:05.792,4.777587400484596,2.451246105919003,5.3116303219106955,6.569885773624091
3017,00:02:05.834,5.529214260989963,3.301557632398754,5.607320872274143,7.678764278296988
3018,00:02:05.876,4.7807199723087574,2.609657320872274,5.3320872274143305,6.400415368639668
3019,00:02:05.917,5.377172031844928,3.153634475597092,5.832191069574247,7.145690550363447
3020,00:02:05.959,5.141606092073382,2.796313603322949,5.643561786085151,6.984942886812045
3021,00:02:06.001,5.11000346140533,2.7929906542056075,5.465680166147456,7.071339563862928
3022,00:02:06.043,5.518864659051576,2.9367082035306336,6.035514018691589,7.584371754932502
3023,00:02:06.084,5.807320872274143,2.7412253374870197,5.732710280373832,8.948026998961579
3024,00:02:06.126,5.248701973001039,2.964226375908619,5.630010384215992,7.151869158878505
3025,00:02:06.168,4.832173762547595,2.6493769470404986,5.153634475597093,6.6935098650051925
3026,00:02:06.209,108.74473866389754,84.18198338525441,63.3297507788162,178.722481827622
3027,00:02:06.251,76.19463482173761,71.63701973001038,2.8254932502596053,154.12139148494288
3028,00:02:06.293,15.240879196953964,16.455347871235723,4.307892004153686,24.95939771547248
3029,00:02:06.335,5.9139321564555205,3.4790758047767394,5.459968847352025,8.802751817237798
3030,00:02:06.376,4.807459328487366,2.641588785046729,5.616303219106958,6.164485981308411
3031,00:02:06.418,6.242592592592593,3.4251817237798545,7.440290758047768,7.862305295950156
3032,00:02:06.460,6.15404984423676,3.70539979231568,8.303115264797508,6.4536344755970925
3033,00:02:06.501,6.708341986846659,5.665732087227414,8.217497403946002,6.241796469366562
3034,00:02:06.543,6.576462443752163,5.199480789200416,9.901090342679128,4.628816199376947
3035,00:02:06.585,6.162599515403254,5.100830737279336,8.837954309449637,4.54901349948079
